Version Description,API number for each version,API_NAME,HEAD_FILE,OneUtopia1.0,OneUtopia1.1,OneUtopia1.2,OneUtopia1.3,OneUtopia1.4,OneUtopia1.5,OneUtopia1.6
OneUtopia1.0: SN filtering,1863,MsOS_Init,MsOS.h,1,1,1,1,1,1,1
OneUtopia1.1:SN+LG+MI+TSB ,2365,MsOS_Init_str,MsOS.h,0,0,0,0,0,0,0
OneUtopia1.2: 1.1+VESAL+AN,2501,MsOS_Init_Fastboot,MsOS.h,0,0,0,0,0,0,0
OneUtopia1.3: 1.2 + SN_STB + AN_STB,2525,MsOS_CreateMemoryPool,MsOS.h,1,1,1,1,1,1,1
OneUtopia1.4: 1.3 +apiXC.h special case,2527,MsOS_DeleteMemoryPool,MsOS.h,1,1,1,1,1,1,1
OneUtopia1.5: 1.4 +apiGFX.h special case,2529,MsOS_InfoMemoryPool,MsOS.h,1,1,1,1,1,1,1
OneUtopia1.6=1.5+MApi_XC_SetDSInfo+add local dimming init codes for manhattan ,2534,MsOS_AllocateMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ReallocateMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_FreeMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CreateFixSizeMemoryPool,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteFixSizeMemoryPool,MsOS.h,1,1,1,1,1,1,1
,,MsOS_InfoFixSizeMemoryPool,MsOS.h,1,1,1,1,1,1,1
,,MsOS_AllocateFixSizeMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_FreeFixSizeMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CreateTask,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteTask,MsOS.h,1,1,1,1,1,1,1
,,MsOS_YieldTask,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DelayTask,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DelayTaskUs,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DelayTaskUs_Poll,MsOS.h,0,1,1,1,1,1,1
,,MsOS_ResumeTask,MsOS.h,1,1,1,1,1,1,1
,,MsOS_SuspendTask,MsOS.h,1,1,1,1,1,1,1
,,MsOS_InfoTaskID,MsOS.h,1,1,1,1,1,1,1
,,MsOS_GetOSThreadID,MsOS.h,0,1,1,1,1,1,1
,,MsOS_CreateMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ObtainMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ReleaseMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_InfoMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CreateSemaphore,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteSemaphore,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ObtainSemaphore,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ReleaseSemaphore,MsOS.h,1,1,1,1,1,1,1
